Model,Name,Rating,Price,Link
Model: MMM63LL/A,Apple - iPhone 13 5G 128GB (Unlocked) - Midnight,(730),629.99,https://www.bestbuy.com/site/apple-iphone-13-5g-128gb-unlocked-midnight/6417788.p?skuId=6417788
Model: A2483-GRY,Apple - Pre-Owned iPhone 13 Pro 5G 128GB (Unlocked) - Graphite,(39),679.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-5g-128gb-unlocked-graphite/6551233.p?skuId=6551233
Model: A2482,Apple - Pre-Owned iPhone 13 5G 128GB (Unlocked) - Starlight,(1),549.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-5g-128gb-unlocked-starlight/6567196.p?skuId=6567196
Model: A2482,Apple - Pre-Owned iPhone 13 5G 256GB (Unlocked) - Green,Not Yet Reviewed,599.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-5g-256gb-unlocked-green/6562359.p?skuId=6562359
Model: A2484,Apple - Pre-Owned iPhone 13 Pro Max 5G 128GB (Unlocked) - Graphite,(6),829.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-128gb-unlocked-graphite/6563055.p?skuId=6563055
Model: A2483,Apple - Pre-Owned iPhone 13 Pro 5G 256GB (Unlocked) - Graphite,(4),779.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-5g-256gb-unlocked-graphite/6562119.p?skuId=6562119
Model: A2484-GLD,Apple - Pre-Owned iPhone 13 Pro Max 5G 128GB (Unlocked) - Gold,(17),849.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-128gb-unlocked-gold/6558581.p?skuId=6558581
Model: MLN53LL/A,Apple - iPhone 13 5G 512GB - (PRODUCT)RED (AT&T),(6),25.84,https://www.bestbuy.com/site/apple-iphone-13-5g-512gb-productred-at-t/6443409.p?skuId=6443409
Model: MLN53LL/A,Apple - iPhone 13 5G 512GB - (PRODUCT)RED (Verizon),(12),25.83,https://www.bestbuy.com/site/apple-iphone-13-5g-512gb-productred-verizon/6443299.p?skuId=6443299
Model: A2484,Apple - Pre-Owned iPhone 13 Pro Max 5G 256GB (Unlocked) - Sierra Blue,(1),899.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-256gb-unlocked-sierra-blue/6562153.p?skuId=6562153
Model: GSRF MMMA3LL/A,Apple - Geek Squad Certified Refurbished iPhone 13 5G 128GB (Unlocked) - Blue,Not Yet Reviewed,566.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-13-5g-128gb-unlocked-blue/6563298.p?skuId=6563298
Model: GSRF MLTP3LL/A,New!Apple - Geek Squad Certified Refurbished iPhone 13 Pro 5G 128GB - Graphite (AT&T),Not Yet Reviewed,549.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-13-pro-5g-128gb-graphite-at-t/6567094.p?skuId=6567094
Model: GSRF MLMT3LL/A,New!Apple - Geek Squad Certified Refurbished iPhone 13 5G 128GB - Blue (AT&T),Not Yet Reviewed,566.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-13-5g-128gb-blue-at-t/6567185.p?skuId=6567185
Model: A2484,Apple - Pre-Owned iPhone 13 Pro Max 5G 128GB (Unlocked) - Graphite,(6),829.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-128gb-unlocked-graphite/6563055.p?skuId=6563055
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 256GB (Unlocked) - Deep Purple,(14),"1,049.99",https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-256gb-unlocked-deep-purple/6562966.p?skuId=6562966
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 128GB (Unlocked) - Deep Purple,(5),999.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-128gb-unlocked-deep-purple/6562956.p?skuId=6562956
Model: MQ8R3LL/A,Apple - iPhone 14 Pro Max 128GB - Deep Purple (Verizon),(379),27.77,https://www.bestbuy.com/site/apple-iphone-14-pro-max-128gb-deep-purple-verizon/6487406.p?skuId=6487406
Model: MQ8W3LL/A,Apple - iPhone 14 Pro Max 256GB - Deep Purple (Verizon),(595),30.55,https://www.bestbuy.com/site/apple-iphone-14-pro-max-256gb-deep-purple-verizon/6487411.p?skuId=6487411
Model: MQ8R3LL/A,Apple - iPhone 14 Pro Max 128GB - Deep Purple (AT&T),(327),27.78,https://www.bestbuy.com/site/apple-iphone-14-pro-max-128gb-deep-purple-at-t/6487259.p?skuId=6487259
